value,freq
2755,2
850,4
6670,1
1869,1
1335,1
3910,2
710,2
10,5
54,8
278,1
2812,1
938,2
4498,1
1295,1
1160,5
2278,1
1272,4
66,7
1530,6
468,9
82,3
3264,3
4312,2
2985,1
6690,1
5828,1
5983,1
1419,1
6412,1
1188,7
3895,1
86,3
6350,1
104,7
4212,3
4814,1
1336,1
2185,2
232,6
3973,1
2147,1
2560,2
4068,1
454,1
95,4
1557,1
1050,9
1918,1
3632,1
332,2
3136,3
1552,2
127,2
3435,1
372,6
783,3
1558,1
1395,3
1411,1
1180,3
806,3
30,9
2751,1
861,2
3427,1
693,5
193,2
4028,1
740,4
1529,1
4494,1
3345,1
612,7
1488,6
2869,1
6612,1
2330,1
3029,1
482,1
1339,1
7290,1
7320,1
588,8
6931,1
2043,1
4351,1
5264,1
5320,1
255,4
3600,7
4140,4
1970,1
3220,4
1316,3
4914,3
44,6
4531,1
3703,1
5037,1
8,5
3179,1
4439,1
721,1
1159,1
2175,3
4810,1
2786,1
3683,1
2007,1
1956,1
5226,1
4654,1
1498,2
6603,1
1825,1
2599,1
3927,2
5876,1
707,1
2128,4
3472,4
4123,2
4669,2
798,5
1649,1
3675,3
2180,2
5022,2
3636,1
2384,1
6534,1
6032,2
2376,6
273,4
0,32
1575,5
1071,4
159,3
2000,5
297,4
3720,5
2546,1
3536,3
695,1
3775,1
2392,3
2370,3
629,1
4179,1
2349,2
5450,1
7170,1
305,1
2197,1
3248,4
1742,2
820,4
5704,2
1362,1
5221,1
4097,1
5187,1
2142,5
4572,1
4182,1
1251,1
2873,2
5697,1
2672,1
1351,1
6583,1
892,1
3630,3
6604,1
196,7
268,2
3451,2
2205,3
5325,1
1496,4
3135,2
6360,1
660,11
121,3
1700,4
3058,1
4686,1
6777,1
1743,2
141,3
5628,1
140,10
2318,1
3999,1
3340,1
6206,1
4972,1
5044,1
6132,1
1645,1
3416,2
96,10
4186,2
3108,3
156,9
290,4
705,3
59,2
4920,3
5025,1
368,5
5589,2
5668,1
1417,1
2585,1
1912,1
2460,5
946,2
6479,1
4959,1
2430,5
791,1
5157,1
4830,3
2968,2
173,2
5310,1
181,2
2020,2
4611,1
880,8
85,4
227,2
5980,1
5340,1
3870,2
3615,1
536,2
2990,3
3500,4
55,4
4400,3
915,2
1034,2
885,2
1827,3
1080,12
2465,2
321,1
3388,3
2889,1
5890,1
191,2
26,5
611,1
585,5
2350,2
2896,1
7221,1
4599,1
5454,1
